Profundidade (m),Vazão (L/h),Fraturas (m),Resíduo Seco (mg/L),Lab,Análise,Latitude,Longitude
51.67,334,26,1399.30,LABDES,631/2014,"06°47'47.9""","35°20'28.2"""
48,3727,28.0,342,,,"06°47'12.7""","35°21'13.4"""
52,seco,0,-,,,"06°52'01.0""","35°23'07.5"""
,nan,,nan,,,"06°46'33.4""","35°22'53.8"""
38,1636,22.666666666666668,280.6,LABDES,110/2011,"06°32'05.0""","35°43'53.2"""
,nan,,nan,,,"06°31'51.1""","35°43'48.5"""
,nan,,nan,,,"06°33'46.6""","35°50'10.5"""
,nan,,nan,,,"06°29'29.4""","35°40'26.3"""
,nan,,nan,,,"06°29'45.5""","35°41'01.9"""
,nan,,nan,,,"06°29'06.2""","35°39'59.08"""
,nan,,nan,,,"06°31'28.0""","35°46'10.8"""
55,seco,13,-,,,"06°58'47.40""","35°43'15.70"""
52,4235,26.5,179.6,LABDES,420/2015,"06°58'26.3""","35°44'07.7"""
54,2666,29.0,200.1,LABDES,757/2015,"06°58'26.5""","35°44'07.9"""
62,4500,30.5,145.9,LABDES,234/2015,"06°59'33.9""","35°41'25.5"""
60.80,800,29.5,193.3,LABDES,160/2011,"06°59'08.2""","35°43'49.8"""
52,1200,34.5,nan,LABDES,960/2015,"06°58'37.00""","35°43'41.40"""
51,2117,15.5,-,,,"06°58'52.30""","35°43'52.80"""
69,6000,20.5,-,,,"06°59'37.1""","35°41'27.1"""
51,seco,0,-,,,"06°59'57.9""","35°46'37.8"""
51.90,3428,34.5,367.6,LABDES,119/2014,"07°01'51.8""","35°45'40.1"""
,nan,,nan,,,"06°57'53.1""","35°45'46.3"""
,nan,,nan,,,"06°58'06.9""","35°42'28.4"""
,nan,,nan,,,"07°03'29.3""","35°57'44.3"""
,nan,,nan,,,"07°02'43.3""","35°55'54.6"""
52,seco,0,-,,,"07°03'46.5""","35°55'16.2"""
,nan,,nan,,,"07°04'19.5""","35°56'59.9"""
,nan,,nan,,,"07°31'58.5""","35°40'49.9"""
49,197,25,-,,,"07°05'46.0""","36°44'34.8"""
95.20,8000,76.66666666666667,632.4,LABDES,341/2015,nan,nan
51.20,3130,17.0,527.7,LABDES,368/2015,nan,nan
49,1200,30.333333333333332,329.6,LABDES,324/2015,nan,nan
82,4500,67.5,676.5,LABDES,321/2015,nan,nan
38.40,3272,23.0,187.8,,,nan,nan
102,1565,40.5,595.3,LABDES,345/2015,nan,nan
51,1674,17.5,492.9,LABDES,288/2015,nan,nan
83,2400,58.5,679.1,LABDES,294/2015,nan,nan
51,2117,19.5,417.1,LABDES,267/2015,nan,nan
51,1674,32.5,438.3,LABDES,265/2015,nan,nan
50,180,,676.5,LABDES,321/2015,nan,nan
46,541,26.0,371,LABDES,268/2015,nan,nan
,nan,,nan,,,"06°42'04.4""","35°40'40.8"""
55.60,1469,29.0,513.2,LABDES,226/2012,"06°44'25.9""","35°37'47.8"""
52,276,16,149,LABDES,130/2011,"06°45'43.3""","35°38'32.5"""
50.60,5538,,135.5,LABDES,162/2012,"06°45'32.5""","35°37'04.7"""
,nan,,nan,,,"06°45'05.4""","35°33'49.3"""
,nan,,nan,,,"06°41'20.8""","35°40'56.2"""
,nan,,nan,,,"06°42'04.4""","35°40'40.8"""
,nan,,nan,,,"06°43'27.5""","35°38'21.1"""
,nan,,nan,,,"06°45'29.8""","35°36'01.4"""
74,Improdutivo,26,-,,,"06°45'34.4""","35°38'16.0"""
52,276,16,149,LABDES,130/2011,"06°45'42.6""","35°38'09.0"""
,nan,,nan,,,"06°44'46.1""","35°28'50.0"""
63,191,40.5,1215.90,LABDES,08./2012,"06°44'21.9""","35°33'54.2"""
53.20,480,33.0,3223.40,LABDES,396/2014,"06°43'49.3""","35°40'04.1"""
,nan,51,nan,,,"06°43'11.7""","35°34'15.9"""
52,847,24.5,170.7,LABDES,134/2011,"06°44'6.4""","35°35'15.9"""
,nan,,nan,,,"06°44'11.0""","35°56'12.6"""
52.40,84,,-,,,"06°44'15.6""","35°34'10.7"""
43.70,571,,257.9,LABDES,472/2013,"06°44'24.3""","35°34'29.6"""
,nan,,nan,,,"06°46'30.5""","35°34'52.5"""
50,seco,0,-,,,"06°45'05.1""","35°33'30.0"""
62.50,439,16,570.1,LABDES,793/2014,"06°45'23.2""","35°34'19.9"""
,nan,,nan,,,"06°46'48.4""","35°34'45.0"""
,nan,,nan,,,"06°46'48.5""","35°34'32.9"""
51,0,0,-,,,"06°46'58.1""","35°34'45.4"""
,nan,,nan,,,"07°27'35.9""","35°59'57.9"""
,nan,,nan,,,"06°42'45.4""","36°01'33.5"""
,nan,,nan,,,"06°45'17.8""","36°03'43.6"""
50,1945,24.0,3053.70,LABDES,875/2015,"07°30'20.30""","36°00'02.10"""
40,6000,21.0,4346.70,LABDES,518/2015,"07°29'27.9""","35°58'23.0"""
,nan,,nan,,,"07°27'35.9""","35°59'57.9"""
52,Improdutivo,11,-,,,"07°33'10.9""","36°00'23.7"""
,nan,,nan,,,"07°29'40.8""","35°56'55.3"""
,nan,,nan,,,"07°29'23.8""","35°59'51.9"""
,nan,,nan,,,"07°29'12.9""","35°59'57.1"""
,nan,,nan,,,"07°34'48.3""","36°04'03.7"""
52,seco,0,-,,,"07°31'38.3""","36°02'59.7"""
,nan,,nan,,,"07°32'55.8""","36°14'41.0"""
52,10285,30.0,6739.90,LABDES,409/2013,"07°37'32.8""","36°16'03.8"""
,nan,,nan,,,"07°34'44.7""","36°17'28.9"""
,nan,28,nan,,,"07°46'21.2""","36°11'40.4"""
52.10,9000,27.5,2889.40,LABDES,415/2013,"07°35'40.1""","36°18'05.1"""
,nan,,nan,,,"07°36'44.5""","36°19'24.1"""
,nan,,nan,,,"07°32'13.5""","36°14'38.9"""
,nan,,nan,,,"07°32'08.6""","36°14'33.3"""
,nan,,nan,,,"07°32'22.8""","36°14'29.0"""
,nan,,nan,,,"07°32'34.7""","36°14'25.0"""
49.70,1142,23.0,1343.50,,,"07°34'26.3""","36°16'03.6"""
50,1469,11,1564.20,,,"07°34'23.3""","36°16'22.4"""
,nan,,nan,,,"07°34'14.8""","36°16'33.9"""
52,1945,35.5,2030.40,LABDES,413/2013,"07°35'54.0""","36°18'03.3"""
51.50,10285,,1930.40,LABDES,83/2014,"07°35'25.6""","36°17'00.8"""
,nan,,nan,,,"07°39'36.8""","36°16'18.4"""
,nan,,nan,,,"06°44'46.1""","35°28'50.0"""
48,1800,15,964,,,"06°41'59.9""","35°32'13.7"""
,nan,,nan,,,"06°50'50.8""","35°28'58.2"""
,nan,,nan,,,"06°44'46.1""","35°28'50.0"""
60,360,48,1564.00,LABDES,15/2011,"06°45'35.4""","35°29'14.1"""
49,1309,27,691,LABDES,18/2011,"06°45'37.1""","35°29'22.3"""
,nan,,nan,,,"06°41'01.0""","35°32'07.4"""
,nan,,nan,,,"06°45'27.7""","35°31'06.8"""
41,seco,0,-,,,"07°12'16.5""","36°07'31.0"""
41,1014,17,7485.60,LABDES,240/2015,"07°13'57.5""","36°14'20.7"""
,nan,,nan,,,"07°13'57.5""","36°14'20.7"""
,nan,,nan,,,"07°18'18.6""","36°57'21.5"""
,nan,,nan,,,"07°09'31.6""","36°05'05.5"""
49,514,22,3791.20,LABDES,789/2015,"07°31'13.20""","36°05'18.30"""
48,1107,,4877.30,LABDES,108/2012,"07°25'22.9""","35°10'11.4"""
48.20,8000,20.5,2530.30,LABDES,331/2013,"07°33'56.8""","36°15'21.6"""
52,seco,0,-,,,"07°28'46.3""","36°06'26.5"""
50,seco,15,-,,,"07°34'20.0""","36°09'40.1"""
48.70,12000,18.333333333333332,2132.70,LABDES,333/2013,"07°33'34.9""","36°14'44.5"""
26.80,12000,,1854.30,LABDES,328/2013,"07°32'55.1""","36°14'06.9"""
48.70,7200,47.0,3786.80,LABDES,449/3013,"07°36'31.1""","36°08'33.9"""
48.40,4235,18.0,1305.40,LABDES,329/2013,"07°33'54.7""","36°13'47.9"""
,nan,,nan,,,"07°34'44.2""",36°13'18.3
,nan,,nan,,,"07°33'43.6""","36°13'41.4"""
48.10,1384,18,-,,,"07°34'10.6""","36°13'47.7"""
48.10,2000,20,1597.20,LABDES,334/2013,"07°33'05.0""","36°13'46.7"""
51,seco,18,nan,,,nan,nan
32.60,8000,17.333333333333332,471.3,LABDES,782/2015,nan,nan
37,6000,,2183.60,LABDES,790/2015,nan,nan
52,seco,0,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
50,900,27,711.1,LABDES,783/2015,nan,nan
52,seco,0,nan,,,nan,nan
51,nan,14,nan,,,nan,nan
,nan,17.5,nan,,,"06°48'17.1""","35°34'00.8"""
50,seco,0,-,,,"06°47'29.5""","35°38'25.3"""
35,4800,,-,,,"07°33'44.5""","36°13'30.0"""
50.30,10285,,4557.80,LABDES,336/2012,"07°27'53.7""","36°16'16.7"""
,nan,,nan,,,"07°57'13.7""","36°09'37.3"""
51,seco,15,-,,,"07°26'24.3""","36°21'30.3"""
32,5142,18,1010.90,LABDES,797/2014,"07°32'15.1""","36°21'04.9"""
45.30,6000,22.333333333333332,8435.20,LABDES,256/2014,"07°25'17.0""","36°14'52.1"""
,nan,,nan,,,"07°29'19.4""","36°17'28.9"""
49.70,4235,26.0,837.8,LABDES,85/2015,"07°36'12.6""","36°19'01.7"""
,nan,,nan,,,"07°33'27.5""","36°17'14.6"""
,nan,,nan,,,"07°34'07.9""","36°17'25.0"""
100,nan,17,nan,,,nan,nan
52,nan,18.5,nan,,,nan,nan
51,nan,33.666666666666664,nan,,,nan,nan
52,nan,16.0,nan,,,nan,nan
36,Seco,0,nan,,,nan,nan
40,seco,0,nan,,,nan,nan
58,nan,24.0,nan,,,nan,nan
52,nan,22.0,nan,,,nan,nan
,nan,,nan,,,"06°57'18.7""","38°43'01.3"""
51.50,1180,,7949.70,LABDES,391/2015,"06°40'53.3""","35°44'59.8"""
52,493,27.5,5939.70,LABDES,16/2014,"06°40'47.6""","35°45'27.7"""
50.60,857,15.5,5059.40,LABDES,364/2012,"06°37'32.5""","35°28'46.2"""
52,Improdutivo,8,-,,,"06°37'15.5""","35°28'41.5"""
,nan,,nan,,,"06°37'35.1""","35°28'21.3"""
,nan,,nan,,,"06°36'55.6""","35°27'27.3"""
55,Improdutivo,13,-,,,"06°37'30.9""","35°28'36.00"""
,nan,,nan,,,"06°35'50.8""","35°28'03.1"""
51,nan,19,nan,,,nan,nan
51,Seco,0,nan,,,nan,nan
47,nan,14.333333333333334,nan,,,nan,nan
40,nan,25.333333333333332,nan,,,nan,nan
60,nan,,nan,,,nan,nan
53,900,15.5,nan,,,nan,nan
52,nan,16.0,nan,,,nan,nan
60,nan,32.5,nan,,,nan,nan
52,nan,24,nan,,,nan,nan
51,seco,30,nan,,,nan,nan
51,nan,35,nan,,,nan,nan
51,nan,14,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
52,nan,39,nan,,,nan,nan
37,nan,15.0,nan,,,nan,nan
51,nan,0,nan,,,nan,nan
52,nan,0,nan,,,nan,nan
52,nan,18.0,nan,,,nan,nan
52,nan,,nan,,,nan,nan
52,nan,18,nan,,,nan,nan
52,nan,14,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
51,seco,0,nan,,,nan,nan
52,seco,0,nan,,,nan,nan
52,seco,12,nan,,,nan,nan
52,nan,35,nan,,,nan,nan
,nan,,nan,,,"06°53'03.3""","38°36'36.4"""
51,seco,40,-,,,"06°51'54.6""","36°25'50.7"""
